"en_name";"en_vote";"vote_general";"fr_name";"fr_vote";"it_name";"it_vote";"es_name";"es_vote";"de_name";"de_vote";"earliest_begin";"latest_begin";"earliest_end";"latest_end";"link_chronontology"
"1870-1930";;"Xnot-a-temponym";"1870-1930";;"1870-1930";;"1870-1930";;"1870-1930";;1870;1870;1930;1930;"http://chronontology.dainst.org/period/7ZYDkD8TGgUh"
"1870-1998";;"Xnot-a-temponym";"1870-1998";;"1870-1998";;"1870-1998";;"1870-1998";;1870;1870;1998;1998;"http://chronontology.dainst.org/period/OVqHYjBF9Rjg"
"1880 to 2008";;"Xnot-a-temponym";"1880 à 2008";;"Dal 1880 al 2008";;"1880 a 2008";;"1880 bis 2008";;1880;1880;2008;2008;"http://chronontology.dainst.org/period/pGJE4vJdb08U"
"18th and 19th Centuries";;"Xnot-a-temponym";"18e et 19e siècles";;"18 ° e 19 ° secolo";;"Siglos XVIII y XIX";;"18. und 19. Jahrhundert";;1700;1700;1900;1900;"http://chronontology.dainst.org/period/IOGdcZ2CU1tz"
"18th Century::1st half";;"Xnot-a-temponym";"18ème siècle";;"18mo secolo";;"siglo 18";;"18. Jahrhundert";;1700;1700;1749;1749;"http://chronontology.dainst.org/period/QkD3qWhpzuIW"
"18th Century::1st quarter";;"Xnot-a-temponym";"18ème siècle :: 1ère moitié";;"XVIII secolo :: prima metà";;"Siglo XVIII :: primera mitad";;"18. Jahrhundert :: 1. Hälfte";;1700;1700;1724;1724;"http://chronontology.dainst.org/period/uiTj9BNsJb9J"
"18th Century::2nd half";;"Xnot-a-temponym";"XVIIIe siècle :: 1er trimestre";;"XVIII secolo :: 1 ° trimestre";;"Siglo XVIII :: 1er trimestre";;"18. Jahrhundert :: 1. Quartal";;1750;1750;1799;1799;"http://chronontology.dainst.org/period/5cTcUytVnRti"
"18th Century::2nd quarter";;"Xnot-a-temponym";"18e siècle :: 2e moitié";;"XVIII secolo :: seconda metà";;"Siglo XVIII :: segunda mitad";;"18. Jahrhundert :: 2. Hälfte";;1725;1725;1749;1749;"http://chronontology.dainst.org/period/8zyCy6BuziTb"
"18th Century::2nd/3rd quarter";;"Xnot-a-temponym";"XVIIIe siècle :: 2e trimestre";;"XVIII secolo :: 2 ° trimestre";;"Siglo XVIII :: segundo trimestre";;"18. Jahrhundert :: 2. Quartal";;1725;1725;1774;1774;"http://chronontology.dainst.org/period/ULPdIdhWxz32"
"18th Century::3rd quarter";;"Xnot-a-temponym";"XVIIIe siècle :: 2e / 3e trimestre";;"XVIII secolo :: 2 ° / 3 ° trimestre";;"Siglo XVIII :: segundo / tercer trimestre";;"18. Jahrhundert :: 2./3. Quartal";;1750;1750;1774;1774;"http://chronontology.dainst.org/period/rO9bkI34UFAd"
"18th Century::4th quarter";;"Xnot-a-temponym";"XVIIIe siècle :: 3e trimestre";;"XVIII secolo :: 3 ° trimestre";;"Siglo XVIII :: tercer trimestre";;"18. Jahrhundert :: 3. Quartal";;1775;1775;1799;1799;"http://chronontology.dainst.org/period/6HP65FG7rS6Z"
"18th Century";;"Xnot-a-temponym";"XVIIIe siècle :: 4e trimestre";;"18 ° secolo :: 4 ° trimestre";;"Siglo XVIII :: cuarto trimestre";;"18. Jahrhundert :: 4. Quartal";;1700;1700;1800;1800;"http://chronontology.dainst.org/period/6d870DTmD2FA"
"18th dynasty";;"Uok";"18e dynastie";;"XVIII dinastia";;"XVIII dinastía";;"18. Dynastie";;-1550;-1550;-1295;-1295;"http://chronontology.dainst.org/period/K5glD8hjpaZB"
"19th c. American";;"Xnot-a-temponym";"19e s.américain";;"XIX sec.americano";;"XIX c.americano";;"19. Jahrhundertamerikanisch";;1821;1821;1899;1899;"http://chronontology.dainst.org/period/95camkoOeasT"
"19th cent. urban";;"Xnot-a-temponym";"19th cent. urban";;"XIX sec.urbano";;"Siglo XIXurbano";;"19. Jahrhundertstädtisch";;1800;1800;1899;1899;"http://chronontology.dainst.org/period/XpK75Oxro8Be"
"19th century urban";;"Xnot-a-temponym";"19ème siècle";;"19esimo secolo";;"Siglo 19";;"19. Jahrhundert";;1800;1800;1899;1899;"http://chronontology.dainst.org/period/gEaZNWKUyBYV"
"19th Century::1st half";;"Xnot-a-temponym";"Urbain du XIXe siècle";;"Urbano del XIX secolo";;"Siglo 19 urbano";;"19. Jahrhundert urban";;1800;1800;1849;1849;"http://chronontology.dainst.org/period/2CExHZqo6XCn"
"19th Century::1st quarter";;"Xnot-a-temponym";"19e siècle :: 1ère moitié";;"XIX secolo :: prima metà";;"Siglo XIX :: primera mitad";;"19. Jahrhundert :: 1. Hälfte";;1800;1800;1825;1825;"http://chronontology.dainst.org/period/ol2RqlgvkVma"
"19th Century::2nd half";;"Xnot-a-temponym";"19e siècle :: 1er trimestre";;"XIX secolo :: 1 ° trimestre";;"Siglo XIX :: 1er trimestre";;"19. Jahrhundert :: 1. Quartal";;1850;1850;1899;1899;"http://chronontology.dainst.org/period/e6H1M5xl4eoQ"
"19th Century::2nd quarter";;"Xnot-a-temponym";"19e siècle :: 2e moitié";;"XIX secolo :: seconda metà";;"Siglo XIX :: segunda mitad";;"19. Jahrhundert :: 2. Hälfte";;1825;1825;1849;1849;"http://chronontology.dainst.org/period/seplKymYeGzI"
"19th Century::2nd/3rd quarter";;"Xnot-a-temponym";"19e siècle :: 2e trimestre";;"XIX secolo :: 2 ° trimestre";;"Siglo XIX :: segundo trimestre";;"19. Jahrhundert :: 2. Quartal";;1825;1825;1874;1874;"http://chronontology.dainst.org/period/2kQLEl9JY8Ha"
"19th Century::3rd quarter";;"Xnot-a-temponym";"19e siècle :: 2e / 3e trimestre";;"XIX secolo :: 2 ° / 3 ° trimestre";;"Siglo XIX :: segundo / tercer trimestre";;"19. Jahrhundert :: 2./3. Quartal";;1850;1850;1874;1874;"http://chronontology.dainst.org/period/quOvdcqdrZZx"
"19th Century::4th quarter";;"Xnot-a-temponym";"19e siècle :: 3e trimestre";;"XIX secolo :: 3 ° trimestre";;"Siglo XIX :: 3er trimestre";;"19. Jahrhundert :: 3. Quartal";;1875;1875;1899;1899;"http://chronontology.dainst.org/period/XX1vTRIu0nA9"
"19th Century";;"Xnot-a-temponym";"19e siècle :: 4e trimestre";;"XIX secolo :: 4 ° trimestre";;"Siglo XIX :: cuarto trimestre";;"19. Jahrhundert :: 4. Quartal";;1800;1800;1900;1900;"http://chronontology.dainst.org/period/5C8DINGE1IXb"
"19th dynasty";;"Uok";"19e dynastie";;"XIX dinastia";;"XIX dinastía";;"19. Dynastie";;-1295;-1295;-1186;-1186;"http://chronontology.dainst.org/period/ErrEFhmvF5KZ"
"19th urban";;"Xnot-a-temponym";"19e urbain";;"19 ° urbano";;"19o urbano";;"19. Stadt";;1800;1800;1899;1899;"http://chronontology.dainst.org/period/KJrjhu6xZVNp"
"19th-20th cent urban";;"Xnot-a-temponym";"19th-20th cent urban";;"XIX-XX secolo urbano";;"Siglo XIX-XX urbano";;"19.-20. Jahrhundert urban";;1800;1800;1950;1950;"http://chronontology.dainst.org/period/iqxokofsthro"
"1rst Dynasty";;"Uok";"1ère dynastie";;"1a dinastia";;"Primera dinastía";;"1. Dynastie";;-3000;-3000;-1890;-1890;"http://chronontology.dainst.org/period/vqP6C9DXZaM0"
"1st War to 2nd";;"Xunderspecific";"1ère guerre à 2ème";;"1a guerra al 2o";;"Primera guerra a segunda";;"1st War to 2nd";;1817;1817;1834;1834;"http://chronontology.dainst.org/period/yYhwKR9iOk4E"
"20th and 21st Centuries";;"Xnot-a-temponym";"20e et 21e siècles";;"20 ° e 21 ° secolo";;"Siglos XX y XXI";;"20. und 21. Jahrhundert";;1900;1900;2100;2100;"http://chronontology.dainst.org/period/INtagfT8h7Fs"
"20th c. American";;"Xnot-a-temponym";"20th c. American";;"20th c. American";;"Vigésimo c.americano";;"20. Jahrhundertamerikanisch";;1900;1900;1950;1950;"http://chronontology.dainst.org/period/mSDcmIbil6r5"
"20th Century::1st half";;"Xnot-a-temponym";"20ième siècle";;"20 ° secolo";;"siglo 20";;"20. Jahrhundert";;1900;1900;1949;1949;"http://chronontology.dainst.org/period/PixPD2RZWLHl"
"20th Century::1st quarter";;"Xnot-a-temponym";"20ième siècle";;"20 ° secolo";;"siglo 20";;"20. Jahrhundert";;1900;1900;1924;1924;"http://chronontology.dainst.org/period/wZLS9s62Bs4r"
"20th Century::2nd half";;"Xnot-a-temponym";"20e siècle :: 1ère moitié";;"XX secolo :: prima metà";;"Siglo XX :: primera mitad";;"20. Jahrhundert :: 1. Hälfte";;1950;1950;1999;1999;"http://chronontology.dainst.org/period/09XLqO0kBljM"
"20th Century::2nd quarter";;"Xnot-a-temponym";"20e siècle :: 1er trimestre";;"XX secolo :: 1 ° trimestre";;"Siglo XX :: 1er trimestre";;"20. Jahrhundert :: 1. Quartal";;1925;1925;1949;1949;"http://chronontology.dainst.org/period/nMYVXq5dBaop"
"20th Century::2nd/3rd quarter";;"Xnot-a-temponym";"20e siècle :: 2e moitié";;"XX secolo :: seconda metà";;"Siglo XX :: segunda mitad";;"20. Jahrhundert :: 2. Hälfte";;1925;1925;1974;1974;"http://chronontology.dainst.org/period/iNnSPBK27T71"
"20th Century::3rd quarter";;"Xnot-a-temponym";"20e siècle :: 2e trimestre";;"20th Century :: 2nd quarter";;"Siglo XX :: segundo trimestre";;"20. Jahrhundert :: 2. Quartal";;1950;1950;1974;1974;"http://chronontology.dainst.org/period/yLzBereC5B40"
"20th Century::4th quarter";;"Xnot-a-temponym";"20e siècle :: 2e / 3e trimestre";;"XX secolo :: 2 ° / 3 ° trimestre";;"Siglo XX :: segundo / tercer trimestre";;"20. Jahrhundert :: 2./3. Quartal";;1975;1975;1999;1999;"http://chronontology.dainst.org/period/o2zkt1TDsxhF"
"20th century";;"Xnot-a-temponym";"20e siècle :: 3e trimestre";;"XX secolo :: 3 ° trimestre";;"Siglo XX :: tercer trimestre";;"20. Jahrhundert :: 3. Quartal";;1900;1900;1950;1950;"http://chronontology.dainst.org/period/xww5wEbI7UQT"
"20th Century";;"Xnot-a-temponym";"20e siècle :: 4e trimestre";;"XX secolo :: 4 ° trimestre";;"Siglo XX :: cuarto trimestre";;"20. Jahrhundert :: 4. Quartal";;1900;1900;1999;1999;"http://chronontology.dainst.org/period/kqORhO4TGm4n"
"20th dynasty";;"Uok";"20e dynastie";;"XX dinastia";;"XX dinastía";;"20. Dynastie";;-1186;-1186;-1069;-1069;"http://chronontology.dainst.org/period/fScI2wBCROZ3"
"21st Century";;"Xnot-a-temponym";"21e siècle";;"21 ° secolo";;"Siglo 21";;"21. Jahrhundert";;2001;2001;2100;2100;"http://chronontology.dainst.org/period/knMXKJrrvFpm"
"21st dynasty";;"Uok";"21e dynastie";;"XXI dinastia";;"21a dinastía";;"21. Dynastie";;-1069;-1069;-945;-945;"http://chronontology.dainst.org/period/OFsMQ9Oqoq5H"
"22nd dynasty";;"Uok";"22e dynastie";;"22a dinastia";;"22a dinastía";;"22. Dynastie";;-945;-945;-715;-715;"http://chronontology.dainst.org/period/eY4hrsm2FVJs"
"23rd dynasty";;"Uok";"23e dynastie";;"23a dinastia";;"23a dinastía";;"23. Dynastie";;-818;-818;-715;-715;"http://chronontology.dainst.org/period/xrjDERdHYc8T"
"24th dynasty";;"Uok";"24e dynastie";;"24a dinastia";;"24a dinastía";;"24. Dynastie";;-727;-727;-715;-715;"http://chronontology.dainst.org/period/NY011WakhKyP"
"26th dynasty";;"Uok";"26e dynastie";;"26a dinastia";;"26 dinastía";;"26. Dynastie";;-664;-664;-525;-525;"http://chronontology.dainst.org/period/HArcXX4SFvOF"
"27th dynasty";;"Uok";"27e dynastie";;"27a dinastia";;"27a dinastía";;"27. Dynastie";;-525;-525;-404;-404;"http://chronontology.dainst.org/period/7ZKOz4RxMsaL"
"28th dynasty";;"Uok";"28e dynastie";;"28a dinastia";;"28a dinastía";;"28. Dynastie";;-404;-404;-399;-399;"http://chronontology.dainst.org/period/0xk0kRB23S5I"
"29th dynasty";;"Uok";"29e dynastie";;"29a dinastia";;"29a dinastía";;"29. Dynastie";;-399;-399;-380;-380;"http://chronontology.dainst.org/period/DiiAHT409RZ2"
"2nd Dynasty";;"Uok";"2e dynastie";;"2a dinastia";;"2da dinastía";;"2. Dynastie";;-2890;-2890;-2686;-2686;"http://chronontology.dainst.org/period/iSj6SwX4NZbO"
"2nd Millenium BCE";;"Xnot-a-temponym";"2nd Millennium BC";;"2nd Millennium BC";;"2do milenio antes de Cristo";;"2. Jahrtausend v";;-2000;-2000;-1000;-1000;"http://chronontology.dainst.org/period/mEG2P1JZbdNL"
"2nd Millennium BC Egypt";;"Xnot-a-temponym";"2nd Millennium BC";;"II millennio a.C.";;"2do milenio antes de Cristo";;"2. Jahrtausend v";;-2000;-2000;-1000;-1000;"http://chronontology.dainst.org/period/gccd5meZC7is"
"2nd Millennium BC Levant";;"Xnot-a-temponym";"2nd Millennium BC Egypt";;"II millennio a.C.Egitto";;"2do Milenio AC Egipto";;"2. Jahrtausend v. Chr. Ägypten";;-2000;-2000;-1000;-1000;"http://chronontology.dainst.org/period/gWjrpCVTcObs"
"2nd Millennium BC";;"Xnot-a-temponym";"2nd Millennium BC Levant";;"Levante del II millennio a.C.";;"Segundo milenio antes de Cristo Levante";;"2. Jahrtausend v. Chr. Levante";;-2000;-2000;-1000;-1000;"http://chronontology.dainst.org/period/gccd5meZC7is"
"2nd Millennium BCE";;"Xnot-a-temponym";"2e millénaire avant notre ère";;"2nd Millennium BCE";;"2do Milenio AEC";;"2. Jahrtausend v";;-2000;-2000;-1000;-1000;"http://chronontology.dainst.org/period/mEG2P1JZbdNL"
"2nd War to 3rd";;"Xunderspecific";"2e guerre au 3e";;"2a guerra al 3o";;"2da guerra a 3ra";;"2. Krieg bis 3 ..";;1835;1835;1855;1855;"http://chronontology.dainst.org/period/jZJe0erruvaQ"
"30th dynasty";;"Uok";"30e dynastie";;"30a dinastia";;"30a dinastía";;"30. Dynastie";;-380;-380;-343;-343;"http://chronontology.dainst.org/period/6ajWKWDbccck"
"31st dynasty";;"Uok";"31e dynastie";;"31a dinastia";;"31a dinastía";;"31. Dynastie";;-343;-343;-332;-332;"http://chronontology.dainst.org/period/ulSyY9CBRXZD"
"3rd dynasty";;"Uok";"3e dynastie";;"3a dinastia";;"3a dinastía";;"3. Dynastie";;-2686;-2686;-2613;-2613;"http://chronontology.dainst.org/period/QHzwmkJSowXm"
"3rd millennium BC";;"Xunderspecific";"3e millénaire avant JC";;"III millennio a.C.";;"3er milenio antes de Cristo";;"3. Jahrtausend v";;-3000;-3000;-2000;-2000;"http://chronontology.dainst.org/period/HSAgAO0HrrIQ"
"3rd War onward";;"Xunderspecific";"3ème guerre en avant";;"3a guerra in poi";;"Tercera guerra en adelante";;"3. Krieg weiter";;1856;1856;1950;1950;"http://chronontology.dainst.org/period/IqdF2q1aigjf"
"4th dynasty";;"Uok";"4ème dynastie";;"4a dinastia";;"4ta dinastía";;"4. Dynastie";;-2613;-2613;-2494;-2494;"http://chronontology.dainst.org/period/1V7hXAceoGYF"
"4th millenium BCE";;"Xnot-a-temponym";"4ème millénaire avant JC";;"4th millennium BC";;"4to milenio antes de Cristo";;"4. Jahrtausend v";;-4000;-4000;-3000;-3000;"http://chronontology.dainst.org/period/ZAxRV9WoxlrI"
"4th millennium BCE";;"Xnot-a-temponym";"4e millénaire avant notre ère";;"4th millennium BCE";;"4to milenio AEC";;"4. Jahrtausend v";;-4000;-4000;-3000;-3000;"http://chronontology.dainst.org/period/ZAxRV9WoxlrI"
"5th dynasty";;"Uok";"5ème dynastie";;"5a dinastia";;"5ta dinastía";;"5. Dynastie";;-2494;-2494;-2345;-2345;"http://chronontology.dainst.org/period/3Fc39Jz0btde"
"6th Century Style";;"Uok";"Style du 6ème siècle";;"Stile del VI secolo";;"Estilo del siglo VI";;"Stil des 6. Jahrhunderts";;-599;-599;-499;-499;"http://chronontology.dainst.org/period/06GSKjFtKeSO"
"6th dynasty";;"Uok";"6ème dynastie";;"6a dinastia";;"6ta dinastía";;"6. Dynastie";;-2345;-2345;-2181;-2181;"http://chronontology.dainst.org/period/WPURO9rMQugH"
"7th and 8th dynasties";;"Uok";"7e et 8e dynasties";;"7a e 8a dinastia";;"Séptima y octava dinastías";;"7. und 8. Dynastie";;-2181;-2181;-2160;-2160;"http://chronontology.dainst.org/period/eijklOfcT4rz"
"9th and 10th dynasties";;"Uok";"9e et 10e dynasties";;"Nona e decima dinastia";;"Novena y décima dinastías";;"9. und 10. Dynastie";;-2160;-2160;-2025;-2025;"http://chronontology.dainst.org/period/BoKhs7CE71XG"
"Aalenian";;"Uok";"Aalénien";;"Aaleniano";;"Aaleniense";;"Aalenian";;-174100000;-174100000;-170300000;-170300000;"http://chronontology.dainst.org/period/c0jMjQtBrKbH"
"Abassid Middle East";;"Uok";"Abbasid Moyen-Orient";;"Abbasid Medio Oriente";;"Medio Oriente abasí";;"Abbasidischer Naher Osten";;750;750;940;940;"http://chronontology.dainst.org/period/iN2Ovo23Li8y"
"Abassid";;"Uok";"Abbasid";;"abbaside";;"Abbasid";;"Abbasid";;750;750;940;940;"http://chronontology.dainst.org/period/iN2Ovo23Li8y"
"Abbasid Caliphate";;"Uok";"Califat abbasside";;"Califfato abbaside";;"Califato Abasida";;"Abbasidisches Kalifat";;750;750;772;772;"http://chronontology.dainst.org/period/2O4ZL19IMOGo"
"Abbasid dynasty";;"Uok";"Dynastie abbasside";;"Dinastia abbaside";;"Dinastía abasida";;"Abbasid Dynastie";;749;749;1258;1258;"http://chronontology.dainst.org/period/PJbNrS05XoAx"
"Abbotsford";;"Uname";"Abbotsford";;"Abbotsford";;"Abbotsford";;"Abbotsford";;1820;1820;1839;1839;"http://chronontology.dainst.org/period/FaH1UJRqtSdX"
"Abdul Aziz";;"Uname";"Abdul Aziz";;"Abdul Aziz";;"Abdul Aziz";;"Abdul Aziz";;1861;1861;1876;1876;"http://chronontology.dainst.org/period/mxXWPFeBh49s"
"Abdul Hamid I";;"Uname";"Abdul Hamid I";;"Abdul Hamid I";;"Abdul Hamid I";;"Abdul Hamid I.";;1774;1774;1789;1789;"http://chronontology.dainst.org/period/xShKG5EdS2xH"
"Abdul Mejid";;"Uname";"Abdul Mejid";;"Abdul Mejid";;"Abdul Mejid";;"Abdul Mejid";;1839;1839;1861;1861;"http://chronontology.dainst.org/period/xhwiC4enzm3v"
"Abdülâziz";;"Uname";"Abdel Azeez";;"Abdel Azeez";;"Abdel Azeez";;"Abdul Aziz";;1861;1861;1876;1876;"http://chronontology.dainst.org/period/oxsAUz4zgYv2"
"Abdulaziz";;"Uname";"Abdulaziz";;"Abdulaziz";;"Abdulaziz";;"Abdulaziz";;1861;1861;1876;1876;"http://chronontology.dainst.org/period/Wdmwqve9gql2"
"Abdülhamid I";;"Uname";"Abdulhamid I";;"Abdulhamid I";;"Abdulhamid I";;"Abdulhamid I.";;1774;1774;1789;1789;"http://chronontology.dainst.org/period/D6ZD9aq1K0au"
"Abdulhamid I";;"Uname";"Abdulhamid I";;"Abdulhamid I";;"Abdulhamid I";;"Abdulhamid I.";;1774;1774;1789;1789;"http://chronontology.dainst.org/period/q2jI4srnjgUg"
"Abdülhamid II";;"Uname";"Abdulhamid II";;"Abdulhamid II";;"Abdulhamid II";;"Abdulhamid II";;1876;1876;1909;1909;"http://chronontology.dainst.org/period/9z4VZuxUo7e0"
"Abdulhamid II";;"Uname";"Abdulhamid II";;"Abdulhamid II";;"Abdulhamid II";;"Abdulhamid II";;1876;1876;1909;1909;"http://chronontology.dainst.org/period/oN53YEnZPbYO"
"Abdülmecid I";;"Uname";"Abdulmecid I";;"Abdulmecid I";;"Abdulmecid I";;"Abdulmecid I.";;1839;1839;1861;1861;"http://chronontology.dainst.org/period/6oWUHZe8zGdW"
"Abdulmejid";;"Uname";"Abdulmejid";;"Abdulmejid";;"Abdulmejid";;"Abdulmejid";;1839;1839;1861;1861;"http://chronontology.dainst.org/period/KFtqOKDkZ5Te"
"Abstract Expressionist";;"Uok";"Expressionniste abstrait";;"Espressionista astratto";;"Expresionista abstracto";;"Abstrakter Expressionist";;1940;1940;1959;1959;"http://chronontology.dainst.org/period/adtoor2PZxi1"
"Abstract";;"Xunderspecific";"Abstrait";;"Astratto";;"Resumen";;"Abstrakt";;1900;1900;1999;1999;"http://chronontology.dainst.org/period/xNOW9gc6G3po"
"Abyssino-Italian War";;"Uok";"Abyssino-Italian War";;"Guerra abissino-italiana";;"Guerra abisino-italiana";;"Abyssino-Italian War";;1895;1895;1896;1896;"http://chronontology.dainst.org/period/tgBrdrknS1lw"
"Acacian Schism";;"Uok";"Schisme acacien";;"Acacian Schism";;"Cisma acaciano";;"Akazienschisma";;484;484;519;519;"http://chronontology.dainst.org/period/3NDkIygU3KGF"
"Aceramic Neolithic";;"Uok";"Acéramique néolithique";;"Neolitico Aceramico";;"Neolítico aceramic";;"Aceramic Neolithic";;-10050;-10050;-4550;-4550;"http://chronontology.dainst.org/period/NULtwzybpxU4"
"Achaemenid Dynasty";;"Uok";"Dynastie achéménide";;"Dinastia Achemenide";;"Dinastía aqueménida";;"Achämenidendynastie";;-549;-549;-330;-330;"http://chronontology.dainst.org/period/7yzxPWqBg1Ep"
"Achaemenid Empire";;"Uok";"Achaemenid Empire";;"Impero achemenide";;"Imperio aqueménida";;"Achämenidisches Reich";;-550;-550;-330;-330;"http://chronontology.dainst.org/period/tbrad82kilsF"
"Achaemenid rule";;"Uok";"Règle achéménide";;"Regola achemenide";;"Regla aqueménida";;"Achämenidische Herrschaft";;-499;-499;-299;-299;"http://chronontology.dainst.org/period/UaHNjF3qiN02"
